composer_id,name,tradition,song_count,quality_score
S. Kalyanaraman,S. Kalyanaraman,,0,1.0
Leela Omcherry,Leela Omcherry,,0,1.0
Vaigal S. Gnanaskandan,Vaigal S. Gnanaskandan,,0,1.0
K. C. Kesava Pillai,K. C. Kesava Pillai,,0,1.0
Srirangam Rangasamy Nattuvanar,Srirangam Rangasamy Nattuvanar,,0,1.0
Patinathar,Patinathar,,0,1.0
Indira Devi,Indira Devi,,0,1.0
Erode Nagaraj,Erode Nagaraj,,0,1.0
Budha Koushika,Budha Koushika,,0,1.0
Oothukkadu Venkata Kavi,Oothukkadu Venkata Kavi,,0,1.0
Patnam Subramanya Iyer,Patnam Subramanya Iyer,,0,1.0
Koranadu Natesa Pillai,Koranadu Natesa Pillai,,0,1.0
Lalitha Santhanam,Lalitha Santhanam,,0,1.0
Srimushnam Raja Rao,Srimushnam Raja Rao,,0,1.0
Bellary M. Sheshagiri Achar,Bellary M. Sheshagiri Achar,,0,1.0
A. S. Panchapakesha Iyer,A. S. Panchapakesha Iyer,,0,1.0
Ulundurpettai Shanmukham,Ulundurpettai Shanmukham,,0,1.0
Narahari Dasa,Narahari Dasa,,0,1.0
Kabir Das,Kabir Das,,0,1.0
Spencer R. Venugopal,Spencer R. Venugopal,,0,1.0
Chandrasekharendra Saraswati,Chandrasekharendra Saraswati,,0,1.0
Swarna Venkata Dikshitar,Swarna Venkata Dikshitar,,0,1.0
Venkata Vittala Dasa,Venkata Vittala Dasa,,0,1.0
Thayumanavar,Thayumanavar,,0,1.0
Fiddle Ponnuswamy,Fiddle Ponnuswamy,,0,1.0
Ashok Madhav,Ashok Madhav,,0,1.0
S. Ramanathan,S. Ramanathan,,0,1.0
V. V. Shrivatsa,V. V. Shrivatsa,,0,1.0
Kavi Kannan,Kavi Kannan,,0,1.0
Muralidhara Swamiji,Muralidhara Swamiji,,0,1.0
Veda Vyasa,Veda Vyasa,,0,1.0
Kuppuswamy Iyer,Kuppuswamy Iyer,,0,1.0
Desika Vinayakam Pillai,Desika Vinayakam Pillai,,0,1.0
Thiruvisanallur Venkataramana Iyer,Thiruvisanallur Venkataramana Iyer,,0,1.0
T. M. Thiagarajan,T. M. Thiagarajan,,0,1.0
Gowrishankar Stapathi,Gowrishankar Stapathi,,0,1.0
M. S. Gopalakrishnan,M. S. Gopalakrishnan,,0,1.0
Kumaresh Rajagopalan,Kumaresh Rajagopalan,,0,1.0
Manakkal Rangarajan,Manakkal Rangarajan,,0,1.0
C. S. Krishnaswamy Iyer,C. S. Krishnaswamy Iyer,,0,1.0
Sampagodu Vighnaraja,Sampagodu Vighnaraja,,0,1.0
Chandrasekhara Bharathi,Chandrasekhara Bharathi,,0,1.0
Vedanta Desikan,Vedanta Desikan,,0,1.0
Koteeswara Iyer,Koteeswara Iyer,,0,1.0
Muthuswami Dikshitar,Muthuswami Dikshitar,,0,1.0
Mahadeva Shambho,Mahadeva Shambho,,0,1.0
Ramana Maharishi,Ramana Maharishi,,0,1.0
Vedantham Saratchandra Babu,Vedantham Saratchandra Babu,,0,1.0
Ogirala Veeraraghava Sharma,Ogirala Veeraraghava Sharma,,0,1.0
Madurai V. Krishnaswami,Madurai V. Krishnaswami,,0,1.0
Poornathrayee Jayaprakash,Poornathrayee Jayaprakash,,0,1.0
Margadarisi Sesha Iyengar,Margadarisi Sesha Iyengar,,0,1.0
N. Ramani,N. Ramani,,0,1.0
Sulochana Pattabhiraman,Sulochana Pattabhiraman,,0,1.0
Mysore Venkatagiriappa,Mysore Venkatagiriappa,,0,1.0
Tiruchi G. Thyagarajan,Tiruchi G. Thyagarajan,,0,1.0
R. K. Suryanarayana,R. K. Suryanarayana,,0,1.0
Guhan,Guhan,,0,1.0
