name,song_count,total_views,tradition,file_path
Lakshmi Shankar,120,484563,Hindustani,Hindustani/artist/Lakshmi Shankar.json
Budhaditya Mukherjee,752,4424264,Hindustani,Hindustani/artist/Budhaditya Mukherjee.json
Tanavi Jagdale Sardeshmukh,25,32990,Hindustani,Hindustani/artist/Tanavi Jagdale Sardeshmukh.json
Aslam Khan,946,428094,Hindustani,Hindustani/artist/Aslam Khan.json
Devaki Pandit,242,2049939,Hindustani,Hindustani/artist/Devaki Pandit.json
Swami D. R. Parvatikar,22,502089,Hindustani,Hindustani/artist/Swami D. R. Parvatikar.json
Amit Arya,37,39029,Hindustani,Hindustani/artist/Amit Arya.json
Rakesh Chaurasia,862,25985538,Hindustani,Hindustani/artist/Rakesh Chaurasia.json
Vishwa Mohan Bhatt,1291,5299202,Hindustani,Hindustani/artist/Vishwa Mohan Bhatt.json
Prabhakar Karekar,318,1076899,Hindustani,Hindustani/artist/Prabhakar Karekar.json
Krishnarao Shankar Pandit,220,133669,Hindustani,Hindustani/artist/Krishnarao Shankar Pandit.json
Dhananjay Hegde,185,148107,Hindustani,Hindustani/artist/Dhananjay Hegde.json
Malini Rajurkar,626,1634599,Hindustani,Hindustani/artist/Malini Rajurkar.json
Buddhadev Das Gupta,388,582217,Hindustani,Hindustani/artist/Buddhadev Das Gupta.json
Indradeep Ghosh,219,190747,Hindustani,Hindustani/artist/Indradeep Ghosh.json
Gundecha Brothers,583,5418675,Hindustani,Hindustani/artist/Gundecha Brothers.json
Yashaswi Sirpotdar,151,178819,Hindustani,Hindustani/artist/Yashaswi Sirpotdar.json
Sabri Khan,181,916594,Hindustani,Hindustani/artist/Sabri Khan.json
Debu Chaudhuri,210,1119038,Hindustani,Hindustani/artist/Debu Chaudhuri.json
Balaram Pathak,89,124615,Hindustani,Hindustani/artist/Balaram Pathak.json
Niladri Kumar,1087,38088870,Hindustani,Hindustani/artist/Niladri Kumar.json
Ramkrishnabuwa Vaze,40,58594,Hindustani,Hindustani/artist/Ramkrishnabuwa Vaze.json
Jagdish Prasad,328,698740,Hindustani,Hindustani/artist/Jagdish Prasad.json
Tejpal Singh Surinder Singh,32,20296,Hindustani,Hindustani/artist/Tejpal Singh Surinder Singh.json
Zia Fariduddin Dagar,107,164332,Hindustani,Hindustani/artist/Zia Fariduddin Dagar.json
Nasir Moinuddin Dagar,32,22789,Hindustani,Hindustani/artist/Nasir Moinuddin Dagar.json
Dhruba Ghosh,110,991008,Hindustani,Hindustani/artist/Dhruba Ghosh.json
Munir Khan,271,569118,Hindustani,Hindustani/artist/Munir Khan.json
Mahadev Prasad Mishra,22,10236,Hindustani,Hindustani/artist/Mahadev Prasad Mishra.json
Shripad Hegde,139,181705,Hindustani,Hindustani/artist/Shripad Hegde.json
Saurabh Vartak,59,98754,Hindustani,Hindustani/artist/Saurabh Vartak.json
Shashank Maktedar,119,100008,Hindustani,Hindustani/artist/Shashank Maktedar.json
Shivkumar Sharma,1624,35543890,Hindustani,Hindustani/artist/Shivkumar Sharma.json
Waseem Ahmad Khan,186,281576,Hindustani,Hindustani/artist/Waseem Ahmad Khan.json
Shubra Guha,213,1188043,Hindustani,Hindustani/artist/Shubra Guha.json
Rajendra Vaishampayan,37,41889,Hindustani,Hindustani/artist/Rajendra Vaishampayan.json
Dinanath Mangeshkar,126,1464270,Hindustani,Hindustani/artist/Dinanath Mangeshkar.json
Rahul Sharma,475,4622938,Hindustani,Hindustani/artist/Rahul Sharma.json
Mohamed Assani,111,177999,Hindustani,Hindustani/artist/Mohamed Assani.json
Purbayan Chatterjee,1285,14407290,Hindustani,Hindustani/artist/Purbayan Chatterjee.json
Nivruttibua Sarnaik,139,122026,Hindustani,Hindustani/artist/Nivruttibua Sarnaik.json
Arshad Ali Khan,234,1991754,Hindustani,Hindustani/artist/Arshad Ali Khan.json
Kishori Amonkar,1999,23721929,Hindustani,Hindustani/artist/Kishori Amonkar.json
N. Rajam,663,2701080,Hindustani,Hindustani/artist/N. Rajam.json
Sarita Pathak,120,405969,Hindustani,Hindustani/artist/Sarita Pathak.json
Tulsidas Borkar,134,1187962,Hindustani,Hindustani/artist/Tulsidas Borkar.json
Sumitra Guha,257,343078,Hindustani,Hindustani/artist/Sumitra Guha.json
Annapurna Devi,149,3671413,Hindustani,Hindustani/artist/Annapurna Devi.json
Gangubai Hangal,686,949512,Hindustani,Hindustani/artist/Gangubai Hangal.json
Mubarak Ali Khan,165,518132,Hindustani,Hindustani/artist/Mubarak Ali Khan.json
Rishabh Seen,19,524190,Hindustani,Hindustani/artist/Rishabh Seen.json
Anant Lal,24,28166,Hindustani,Hindustani/artist/Anant Lal.json
Sukhwinder Singh Namdhari,70,921805,Hindustani,Hindustani/artist/Sukhwinder Singh Namdhari.json
Venkatesh Kumar,1795,20891108,Hindustani,Hindustani/artist/Venkatesh Kumar.json
Sharan Rani Mathur,160,233389,Hindustani,Hindustani/artist/Sharan Rani Mathur.json
V. R. Athavale,26,14830,Hindustani,Hindustani/artist/V. R. Athavale.json
Soumitra Thakur,173,358462,Hindustani,Hindustani/artist/Soumitra Thakur.json
Ram Marathe,372,1266886,Hindustani,Hindustani/artist/Ram Marathe.json
Ramashreya Jha,224,146693,Hindustani,Hindustani/artist/Ramashreya Jha.json
Sandip Bhattacharjee,339,501153,Hindustani,Hindustani/artist/Sandip Bhattacharjee.json
Kumar Gandharva,2229,25489657,Hindustani,Hindustani/artist/Kumar Gandharva.json
Abdul Wahid Khan,75,86734,Hindustani,Hindustani/artist/Abdul Wahid Khan.json
Sureshbabu Mane,18,44862,Hindustani,Hindustani/artist/Sureshbabu Mane.json
Ghulam Sadiq Khan,35,31537,Hindustani,Hindustani/artist/Ghulam Sadiq Khan.json
Omkar Dadarkar,416,869526,Hindustani,Hindustani/artist/Omkar Dadarkar.json
Hirabai Barodekar,368,408852,Hindustani,Hindustani/artist/Hirabai Barodekar.json
Babanrao Haldankar,89,56371,Hindustani,Hindustani/artist/Babanrao Haldankar.json
Neela Bhagwat,168,100989,Hindustani,Hindustani/artist/Neela Bhagwat.json
Iqbal Ahmad Khan,276,1526220,Hindustani,Hindustani/artist/Iqbal Ahmad Khan.json
Amjad Ali Khan,2560,25302537,Hindustani,Hindustani/artist/Amjad Ali Khan.json
Vinayakrao Patwardhan,170,124815,Hindustani,Hindustani/artist/Vinayakrao Patwardhan.json
Kalyani Salunke,204,2353764,Hindustani,Hindustani/artist/Kalyani Salunke.json
Ulhas Kashalkar,1079,3169981,Hindustani,Hindustani/artist/Ulhas Kashalkar.json
K. G. Ginde,381,104149,Hindustani,Hindustani/artist/K. G. Ginde.json
Kartik Seshadri,55,68025,Hindustani,Hindustani/artist/Kartik Seshadri.json
Pratik Srivastava,123,203267,Hindustani,Hindustani/artist/Pratik Srivastava.json
Amanat Ali Khan,1060,40664313,Hindustani,Hindustani/artist/Amanat Ali Khan.json
Tarapada Chakraborty,72,188610,Hindustani,Hindustani/artist/Tarapada Chakraborty.json
Bahadhur Khan,172,529811,Hindustani,Hindustani/artist/Bahadhur Khan.json
C. R. Vyas,261,154675,Hindustani,Hindustani/artist/C. R. Vyas.json
Sweekar Katti,71,57190,Hindustani,Hindustani/artist/Sweekar Katti.json
Mahendra Toke,48,24808,Hindustani,Hindustani/artist/Mahendra Toke.json
Vinay Chandra Maudgalya,13,3693,Hindustani,Hindustani/artist/Vinay Chandra Maudgalya.json
Ghulam Taqi Khan,27,27133,Hindustani,Hindustani/artist/Ghulam Taqi Khan.json
B. R. Deodhar,43,21724,Hindustani,Hindustani/artist/B. R. Deodhar.json
Channulal Mishra,639,9840375,Hindustani,Hindustani/artist/Channulal Mishra.json
Yusuf Ali Khan,22,25881,Hindustani,Hindustani/artist/Yusuf Ali Khan.json
Hemant Gandharv,97,91110,Hindustani,Hindustani/artist/Hemant Gandharv.json
Shaswathi Mandal,187,498520,Hindustani,Hindustani/artist/Shaswathi Mandal.json
Kesarbai Kerkar,663,1398122,Hindustani,Hindustani/artist/Kesarbai Kerkar.json
Narayanrao Vyas,177,140179,Hindustani,Hindustani/artist/Narayanrao Vyas.json
Manas Kumar,244,3429269,Hindustani,Hindustani/artist/Manas Kumar.json
Madhup Mudgal,317,882191,Hindustani,Hindustani/artist/Madhup Mudgal.json
Narendra Nath Dhar,92,75737,Hindustani,Hindustani/artist/Narendra Nath Dhar.json
Anupam Shobhakar,43,27802,Hindustani,Hindustani/artist/Anupam Shobhakar.json
Rishab Prasanna,125,857350,Hindustani,Hindustani/artist/Rishab Prasanna.json
Harvinder Sharma,222,505868,Hindustani,Hindustani/artist/Harvinder Sharma.json
Purnima Chaudhury,119,218500,Hindustani,Hindustani/artist/Purnima Chaudhury.json
Shubadra Desai,100,186939,Hindustani,Hindustani/artist/Shubadra Desai.json
Sumati Mutatkar,29,6618,Hindustani,Hindustani/artist/Sumati Mutatkar.json
V. G. Jog,221,603289,Hindustani,Hindustani/artist/V. G. Jog.json
Pratap Narayan,88,124886,Hindustani,Hindustani/artist/Pratap Narayan.json
Paras Nath,432,43580584,Hindustani,Hindustani/artist/Paras Nath.json
Nina Burmi,34,7764283,Hindustani,Hindustani/artist/Nina Burmi.json
Nikhil Ghosh,16,47487,Hindustani,Hindustani/artist/Nikhil Ghosh.json
Niaz Ahmed Khan,52,33804,Hindustani,Hindustani/artist/Niaz Ahmed Khan.json
Nirali Kartik,197,6385171,Hindustani,Hindustani/artist/Nirali Kartik.json
Samarth Nagarkar,96,65758,Hindustani,Hindustani/artist/Samarth Nagarkar.json
Ravi Shankar,4597,125614420,Hindustani,Hindustani/artist/Ravi Shankar.json
Reenat Fauzia,42,124523,Hindustani,Hindustani/artist/Reenat Fauzia.json
Bimalendu Mukherjee,44,31594,Hindustani,Hindustani/artist/Bimalendu Mukherjee.json
Rasiklal Andharia,80,75937,Hindustani,Hindustani/artist/Rasiklal Andharia.json
Darshan Singh Sur,24,434090,Hindustani,Hindustani/artist/Darshan Singh Sur.json
Bhagyesh Marathe,158,175295,Hindustani,Hindustani/artist/Bhagyesh Marathe.json
Asha Khadilkar,265,878320,Hindustani,Hindustani/artist/Asha Khadilkar.json
Alladiya Khan,63,184412,Hindustani,Hindustani/artist/Alladiya Khan.json
Nishad Bakre,273,159389,Hindustani,Hindustani/artist/Nishad Bakre.json
Vijay Koparkar,189,437328,Hindustani,Hindustani/artist/Vijay Koparkar.json
Harsh Narayan,49,134427,Hindustani,Hindustani/artist/Harsh Narayan.json
Sameehan Kashalkar,52,201480,Hindustani,Hindustani/artist/Sameehan Kashalkar.json
Gauhar Jaan,200,3287196,Hindustani,Hindustani/artist/Gauhar Jaan.json
Dattatreya Velankar,210,190177,Hindustani,Hindustani/artist/Dattatreya Velankar.json
Laxmibai Jadhav,78,35000,Hindustani,Hindustani/artist/Laxmibai Jadhav.json
Ayan Sengupta,118,293817,Hindustani,Hindustani/artist/Ayan Sengupta.json
Raza Ali Khan,310,1446457,Hindustani,Hindustani/artist/Raza Ali Khan.json
Arvind Parikh,279,2276951,Hindustani,Hindustani/artist/Arvind Parikh.json
Rajeev Taranath,318,246104,Hindustani,Hindustani/artist/Rajeev Taranath.json
Shirin Sengupta Nath,82,39450,Hindustani,Hindustani/artist/Shirin Sengupta Nath.json
Nath Neralkar,86,128373,Hindustani,Hindustani/artist/Nath Neralkar.json
Wahid Khan,56,139575,Hindustani,Hindustani/artist/Wahid Khan.json
Ashique Ali Khan,185,499235,Hindustani,Hindustani/artist/Ashique Ali Khan.json
Master Krishnarao,87,239776,Hindustani,Hindustani/artist/Master Krishnarao.json
Hindraj Divekar,30,61828,Hindustani,Hindustani/artist/Hindraj Divekar.json
Salamat Ali Khan,1794,12002610,Hindustani,Hindustani/artist/Salamat Ali Khan.json
Mukul Shivputra,241,1724240,Hindustani,Hindustani/artist/Mukul Shivputra.json
Chetan Joshi,183,146989,Hindustani,Hindustani/artist/Chetan Joshi.json
Vasundhara Komkali,41,82715,Hindustani,Hindustani/artist/Vasundhara Komkali.json
Vidur Mallick,76,47431,Hindustani,Hindustani/artist/Vidur Mallick.json
Basavi Mukerji,85,75291,Hindustani,Hindustani/artist/Basavi Mukerji.json
Abdul Rashid Khan,108,181276,Hindustani,Hindustani/artist/Abdul Rashid Khan.json
Tanveer Ahmed Khan,154,176366,Hindustani,Hindustani/artist/Tanveer Ahmed Khan.json
Shrikrishna Ratanjankar,142,52982,Hindustani,Hindustani/artist/Shrikrishna Ratanjankar.json
Mogubai Kurdikar,241,283350,Hindustani,Hindustani/artist/Mogubai Kurdikar.json
Prattyush Banerjee,206,2756719,Hindustani,Hindustani/artist/Prattyush Banerjee.json
Sudhir Phadke,457,36014197,Hindustani,Hindustani/artist/Sudhir Phadke.json
Anjanibai Malpekar,21,96230,Hindustani,Hindustani/artist/Anjanibai Malpekar.json
Suhasini Koratkar,73,30964,Hindustani,Hindustani/artist/Suhasini Koratkar.json
Vikash Maharaj,150,82814,Hindustani,Hindustani/artist/Vikash Maharaj.json
Ata Hussain Khan,31,15223,Hindustani,Hindustani/artist/Ata Hussain Khan.json
Madhukar Joshi,44,489561,Hindustani,Hindustani/artist/Madhukar Joshi.json
Shujaat Khan,1113,33783629,Hindustani,Hindustani/artist/Shujaat Khan.json
Mani Prasad,158,1064956,Hindustani,Hindustani/artist/Mani Prasad.json
Kashish Mittal,119,1030752,Hindustani,Hindustani/artist/Kashish Mittal.json
Ramarao V. Naik,67,10585,Hindustani,Hindustani/artist/Ramarao V. Naik.json
Jyoti Hegde,97,676126,Hindustani,Hindustani/artist/Jyoti Hegde.json
Yeshwantrai Purohit,20,4914,Hindustani,Hindustani/artist/Yeshwantrai Purohit.json
Tanmoy Bose,215,1166154,Hindustani,Hindustani/artist/Tanmoy Bose.json
Wasifuddin Dagar,434,572817,Hindustani,Hindustani/artist/Wasifuddin Dagar.json
Sultan Khan,407,34449531,Hindustani,Hindustani/artist/Sultan Khan.json
Vinayak Torvi,452,378905,Hindustani,Hindustani/artist/Vinayak Torvi.json
Jitendra Abhisheki,1173,19880331,Hindustani,Hindustani/artist/Jitendra Abhisheki.json
Raghunath Prasanna,6,10903,Hindustani,Hindustani/artist/Raghunath Prasanna.json
Raja Kale,187,688243,Hindustani,Hindustani/artist/Raja Kale.json
Anand Bhate,384,6497031,Hindustani,Hindustani/artist/Anand Bhate.json
Ramakant Gaikwad,298,398633,Hindustani,Hindustani/artist/Ramakant Gaikwad.json
Sahana Banerjee,168,431634,Hindustani,Hindustani/artist/Sahana Banerjee.json
Vinayak Chittar,41,73678,Hindustani,Hindustani/artist/Vinayak Chittar.json
Partha Chatterjee,16,16859,Hindustani,Hindustani/artist/Partha Chatterjee.json
Rajendra Varman,42,12312,Hindustani,Hindustani/artist/Rajendra Varman.json
Vidyadhar Vyas,200,94972,Hindustani,Hindustani/artist/Vidyadhar Vyas.json
Abdul Halim Jaffer Khan,398,339250,Hindustani,Hindustani/artist/Abdul Halim Jaffer Khan.json
Yunus Hussain Khan,193,66557,Hindustani,Hindustani/artist/Yunus Hussain Khan.json
Gauri Pathare,367,633190,Hindustani,Hindustani/artist/Gauri Pathare.json
Kumar Mardhur,150,440542,Hindustani,Hindustani/artist/Kumar Mardhur.json
Chinmoy Lahiri,113,76380,Hindustani,Hindustani/artist/Chinmoy Lahiri.json
Faiyyaz Khan,884,1703369,Hindustani,Hindustani/artist/Faiyyaz Khan.json
Debojyoti Mukherjee,50,77228,Hindustani,Hindustani/artist/Debojyoti Mukherjee.json
Jayanta Chattopadhyay,55,1535712,Hindustani,Hindustani/artist/Jayanta Chattopadhyay.json
Shruti Sadolikar,654,2484584,Hindustani,Hindustani/artist/Shruti Sadolikar.json
Abhishek Borkar,252,1464964,Hindustani,Hindustani/artist/Abhishek Borkar.json
Shubendra Rao,265,290338,Hindustani,Hindustani/artist/Shubendra Rao.json
Parthasarathi Desikan,25,601254,Hindustani,Hindustani/artist/Parthasarathi Desikan.json
Kedar Bodas,117,388290,Hindustani,Hindustani/artist/Kedar Bodas.json
Swapan Chaudhuri,575,1872207,Hindustani,Hindustani/artist/Swapan Chaudhuri.json
Daud Khan Sadozai,94,1452699,Hindustani,Hindustani/artist/Daud Khan Sadozai.json
Narayanrao Bodas,23,56673,Hindustani,Hindustani/artist/Narayanrao Bodas.json
Biswajit Roy Chowdhury,249,94890,Hindustani,Hindustani/artist/Biswajit Roy Chowdhury.json
Krishna Bhatt,183,465271,Hindustani,Hindustani/artist/Krishna Bhatt.json
Arun Kashalkar,300,303627,Hindustani,Hindustani/artist/Arun Kashalkar.json
Lalita Ubhayaker,14,5015,Hindustani,Hindustani/artist/Lalita Ubhayaker.json
Vilayat Hussain Khan,255,129252,Hindustani,Hindustani/artist/Vilayat Hussain Khan.json
Debasmita Bhattacharjee,49,617020,Hindustani,Hindustani/artist/Debasmita Bhattacharjee.json
Bholanath Prasanna,19,21797,Hindustani,Hindustani/artist/Bholanath Prasanna.json
Mita Nag,218,781283,Hindustani,Hindustani/artist/Mita Nag.json
Parveen Sultana,858,15073081,Hindustani,Hindustani/artist/Parveen Sultana.json
Shrikant Bakre,65,36785,Hindustani,Hindustani/artist/Shrikant Bakre.json
Anokhelal Mishra,79,474199,Hindustani,Hindustani/artist/Anokhelal Mishra.json
Sharafat Ali Khan,363,2638974,Hindustani,Hindustani/artist/Sharafat Ali Khan.json
Sameer Rao,279,551204,Hindustani,Hindustani/artist/Sameer Rao.json
Monika Soni,79,241881,Hindustani,Hindustani/artist/Monika Soni.json
Varada Godbole,80,75186,Hindustani,Hindustani/artist/Varada Godbole.json
Upendra Bhat,444,2957187,Hindustani,Hindustani/artist/Upendra Bhat.json
Kaviraj Singh,86,3210152,Hindustani,Hindustani/artist/Kaviraj Singh.json
Asad Qizilbash,107,63107,Hindustani,Hindustani/artist/Asad Qizilbash.json
Ajit Kadkade,429,18280620,Hindustani,Hindustani/artist/Ajit Kadkade.json
Sunilkant Gupta,53,94212,Hindustani,Hindustani/artist/Sunilkant Gupta.json
Jnan Prakash Ghosh,233,751146,Hindustani,Hindustani/artist/Jnan Prakash Ghosh.json
Nabanita Chowdhary,193,72058,Hindustani,Hindustani/artist/Nabanita Chowdhary.json
Arawind Thatte,107,212635,Hindustani,Hindustani/artist/Arawind Thatte.json
Nagesh Adgaonkar,453,3574182,Hindustani,Hindustani/artist/Nagesh Adgaonkar.json
Pinaki Prasad Mukherjee,24,5410,Hindustani,Hindustani/artist/Pinaki Prasad Mukherjee.json
Chota Gandharva,201,182035,Hindustani,Hindustani/artist/Chota Gandharva.json
Bharathi Prathap,151,177036,Hindustani,Hindustani/artist/Bharathi Prathap.json
Imrat Khan,451,1006081,Hindustani,Hindustani/artist/Imrat Khan.json
Suresh Talwalkar,603,2155426,Hindustani,Hindustani/artist/Suresh Talwalkar.json
Anindo Chatterjee,674,5423784,Hindustani,Hindustani/artist/Anindo Chatterjee.json
Kalyan Mukherjea,24,17475,Hindustani,Hindustani/artist/Kalyan Mukherjea.json
Srinjoy Mukherjee,254,132599,Hindustani,Hindustani/artist/Srinjoy Mukherjee.json
Santosh Banerjee,31,51694,Hindustani,Hindustani/artist/Santosh Banerjee.json
Ashish Sankrityayan,33,177482,Hindustani,Hindustani/artist/Ashish Sankrityayan.json
Allauddin Khan,290,643934,Hindustani,Hindustani/artist/Allauddin Khan.json
Saraswathi Rane,42,285971,Hindustani,Hindustani/artist/Saraswathi Rane.json
Nayan Ghosh,112,346718,Hindustani,Hindustani/artist/Nayan Ghosh.json
Meghana Kulkarni,141,324154,Hindustani,Hindustani/artist/Meghana Kulkarni.json
Vijay Sardeshmukh,53,198523,Hindustani,Hindustani/artist/Vijay Sardeshmukh.json
Vikram K. Raghavan,32,17074,Carnatic,Carnatic/artist/Vikram K. Raghavan.json
V. Pradeep Kumar,76,346300,Carnatic,Carnatic/artist/V. Pradeep Kumar.json
Madurai N. Krishnan,24,5913,Carnatic,Carnatic/artist/Madurai N. Krishnan.json
Jayalakshmi Santhanam,44,13795,Carnatic,Carnatic/artist/Jayalakshmi Santhanam.json
Bangalore Brothers,527,632068,Carnatic,Carnatic/artist/Bangalore Brothers.json
Salem K. Srinivasan,9,1617,Carnatic,Carnatic/artist/Salem K. Srinivasan.json
K. V. Ramanujam,30,12544,Carnatic,Carnatic/artist/K. V. Ramanujam.json
Thoppur V. Sairam,30,35248,Carnatic,Carnatic/artist/Thoppur V. Sairam.json
Akkarai Sornalatha,18,48127,Carnatic,Carnatic/artist/Akkarai Sornalatha.json
Manasi Prasad,165,714198,Carnatic,Carnatic/artist/Manasi Prasad.json
Sangeetha Sivakumar,156,823917,Carnatic,Carnatic/artist/Sangeetha Sivakumar.json
Prof K. Venkataramanan,77,52818,Carnatic,Carnatic/artist/Prof K. Venkataramanan.json
Swarna Rethas,17,28434,Carnatic,Carnatic/artist/Swarna Rethas.json
Sudha Ragunathan,5611,129479773,Carnatic,Carnatic/artist/Sudha Ragunathan.json
D. K. Jayaraman,3885,7379961,Carnatic,Carnatic/artist/D. K. Jayaraman.json
Ramana Balachandran,429,6809002,Carnatic,Carnatic/artist/Ramana Balachandran.json
T. V. Gopalakrishnan,316,727774,Carnatic,Carnatic/artist/T. V. Gopalakrishnan.json
T. K. Murthy,368,687997,Carnatic,Carnatic/artist/T. K. Murthy.json
Lalgudi Brahmanandam,25,94608,Carnatic,Carnatic/artist/Lalgudi Brahmanandam.json
Vasundara Rajagopal,68,38353,Carnatic,Carnatic/artist/Vasundara Rajagopal.json
Lalgudi Krishnan Vijayalakshmi,935,2069075,Carnatic,Carnatic/artist/Lalgudi Krishnan Vijayalakshmi.json
H. S. Sudhindra,14,23349,Carnatic,Carnatic/artist/H. S. Sudhindra.json
Musiri Subramania Iyer,533,1234321,Carnatic,Carnatic/artist/Musiri Subramania Iyer.json
S. Sundar,188,200534,Carnatic,Carnatic/artist/S. Sundar.json
Kadri Gopalnath,1414,29846532,Carnatic,Carnatic/artist/Kadri Gopalnath.json
A. Ananthapadmanabhan,85,89756,Carnatic,Carnatic/artist/A. Ananthapadmanabhan.json
Ranjani Gayatri,2415,47512752,Carnatic,Carnatic/artist/Ranjani Gayatri.json
Sukanya Prabhakar,99,104755,Carnatic,Carnatic/artist/Sukanya Prabhakar.json
Mani Krishnaswami,735,2184910,Carnatic,Carnatic/artist/Mani Krishnaswami.json
Lalitha Seshadri,16,7720,Carnatic,Carnatic/artist/Lalitha Seshadri.json
Bellary Brothers,17,33580,Carnatic,Carnatic/artist/Bellary Brothers.json
B. K. Raghu,15,1194,Carnatic,Carnatic/artist/B. K. Raghu.json
B. Lalitha,39,8218,Carnatic,Carnatic/artist/B. Lalitha.json
Sunil Gargyan,576,1440441,Carnatic,Carnatic/artist/Sunil Gargyan.json
S. Aishwarya,99,2795534,Carnatic,Carnatic/artist/S. Aishwarya.json
T. M. Soundarajan,97,8659884,Carnatic,Carnatic/artist/T. M. Soundarajan.json
B. Harikumar,45,9743454,Carnatic,Carnatic/artist/B. Harikumar.json
Vijayalakshmy Subramaniam,448,394506,Carnatic,Carnatic/artist/Vijayalakshmy Subramaniam.json
Vidyabhushana,1025,298475695,Carnatic,Carnatic/artist/Vidyabhushana.json
B. Rajasekhar,3,3092,Carnatic,Carnatic/artist/B. Rajasekhar.json
Yogam Santhanam,15,2387,Carnatic,Carnatic/artist/Yogam Santhanam.json
V. V. Subramaniam,361,966775,Carnatic,Carnatic/artist/V. V. Subramaniam.json
Nagavalli Nagaraj,2600,1027453,Carnatic,Carnatic/artist/Nagavalli Nagaraj.json
L. Subramaniam,781,8347065,Carnatic,Carnatic/artist/L. Subramaniam.json
Rama Geetha,12,16175,Carnatic,Carnatic/artist/Rama Geetha.json
Susarla Sivaraman,33,1993,Carnatic,Carnatic/artist/Susarla Sivaraman.json
M. D. Ramanathan,6253,6339943,Carnatic,Carnatic/artist/M. D. Ramanathan.json
R. K. Srikantan,858,981745,Carnatic,Carnatic/artist/R. K. Srikantan.json
Palghat Harinarayanan,15,27668,Carnatic,Carnatic/artist/Palghat Harinarayanan.json
MPN Brothers,172,4931766,Carnatic,Carnatic/artist/MPN Brothers.json
Thiruveezhimizhalai Subramanya Pillai,2,1465,Carnatic,Carnatic/artist/Thiruveezhimizhalai Subramanya Pillai.json
Padma Krishnan,32,19806,Carnatic,Carnatic/artist/Padma Krishnan.json
Mambalam MKS Siva,288,5422573,Carnatic,Carnatic/artist/Mambalam MKS Siva.json
Vijay Venkateshwar,3,41,Carnatic,Carnatic/artist/Vijay Venkateshwar.json
Maharajapuram S. Ramachandran,214,247037,Carnatic,Carnatic/artist/Maharajapuram S. Ramachandran.json
Mambalam Sisters,366,7898284,Carnatic,Carnatic/artist/Mambalam Sisters.json
Sherthalai Ananthakrishnan,32,51743,Carnatic,Carnatic/artist/Sherthalai Ananthakrishnan.json
Karaikudi S. Subramaniam,40,56503,Carnatic,Carnatic/artist/Karaikudi S. Subramaniam.json
Maharajapuram Viswanatha Iyer,317,820039,Carnatic,Carnatic/artist/Maharajapuram Viswanatha Iyer.json
Marungapuri Gopalakrishna Iyer,2,1306,Carnatic,Carnatic/artist/Marungapuri Gopalakrishna Iyer.json
M. Vijay,30,28164,Carnatic,Carnatic/artist/M. Vijay.json
Neyveli Narayanan,28,85704,Carnatic,Carnatic/artist/Neyveli Narayanan.json
T. K. V. Ramanujacharyalu,46,152857,Carnatic,Carnatic/artist/T. K. V. Ramanujacharyalu.json
Srividya Sriram,147,27461,Carnatic,Carnatic/artist/Srividya Sriram.json
Trivandrum Sampath,24,11492,Carnatic,Carnatic/artist/Trivandrum Sampath.json
Usha Rajagopalan,67,65428,Carnatic,Carnatic/artist/Usha Rajagopalan.json
Sripada Pinakapani,191,207628,Carnatic,Carnatic/artist/Sripada Pinakapani.json
A. S. Murali,282,225563,Carnatic,Carnatic/artist/A. S. Murali.json
S. G. Kittappa,61,152783,Carnatic,Carnatic/artist/S. G. Kittappa.json
Bhagyalakshmi Chandrasekhar,302,594299,Carnatic,Carnatic/artist/Bhagyalakshmi Chandrasekhar.json
Injikudi E. M. Mariyappan,114,1328197,Carnatic,Carnatic/artist/Injikudi E. M. Mariyappan.json
T. Sashidhar,14,1761,Carnatic,Carnatic/artist/T. Sashidhar.json
Ariyakudi Ramanuja Iyengar,2675,4742769,Carnatic,Carnatic/artist/Ariyakudi Ramanuja Iyengar.json
T. R. Padmini,9,803,Carnatic,Carnatic/artist/T. R. Padmini.json
Mayavaram Govindaraja Pillai,43,52294,Carnatic,Carnatic/artist/Mayavaram Govindaraja Pillai.json
V. R. Krishnan,24,11718,Carnatic,Carnatic/artist/V. R. Krishnan.json
B. Sivakumar,29,10980,Carnatic,Carnatic/artist/B. Sivakumar.json
V. Anirudh Athreya,2,273,Carnatic,Carnatic/artist/V. Anirudh Athreya.json
Vignesh Ishwar,887,4211015,Carnatic,Carnatic/artist/Vignesh Ishwar.json
Bombay Sisters,2391,47678776,Carnatic,Carnatic/artist/Bombay Sisters.json
V. Sanjeev,9,2563,Carnatic,Carnatic/artist/V. Sanjeev.json
Amritha Murali,1197,3322199,Carnatic,Carnatic/artist/Amritha Murali.json
Nagai Sriram,7,16037,Carnatic,Carnatic/artist/Nagai Sriram.json
Alathur Srinivasa Iyer,319,183075,Carnatic,Carnatic/artist/Alathur Srinivasa Iyer.json
Kuzhikkarai S. P. Viswalingam,64,7242,Carnatic,Carnatic/artist/Kuzhikkarai S. P. Viswalingam.json
Giridhar Udupa,131,1886472,Carnatic,Carnatic/artist/Giridhar Udupa.json
Vegavahini Vijayaraghavan,67,80520,Carnatic,Carnatic/artist/Vegavahini Vijayaraghavan.json
Archana Aarathi,561,2075038,Carnatic,Carnatic/artist/Archana Aarathi.json
Savita Narasimhan,168,304617,Carnatic,Carnatic/artist/Savita Narasimhan.json
