name,song_count,total_views,tradition,file_path
Khadim Hussain Khan,101,50865,Hindustani,Hindustani/artist/Khadim Hussain Khan.json
Prateek Chaudhuri,182,353552,Hindustani,Hindustani/artist/Prateek Chaudhuri.json
Vijaya Jadhav Gatlewar,64,55427,Hindustani,Hindustani/artist/Vijaya Jadhav Gatlewar.json
Ghulam Hassan Shaggan,73,294510,Hindustani,Hindustani/artist/Ghulam Hassan Shaggan.json
Anoushka Shankar,1100,96868269,Hindustani,Hindustani/artist/Anoushka Shankar.json
Shafqat Ali Khan,741,13462674,Hindustani,Hindustani/artist/Shafqat Ali Khan.json
Saratchandra Arolkar,49,26088,Hindustani,Hindustani/artist/Saratchandra Arolkar.json
Soumik Datta,157,3312479,Hindustani,Hindustani/artist/Soumik Datta.json
Radharaman Kirtane,12,8876,Hindustani,Hindustani/artist/Radharaman Kirtane.json
Abhay Narayan Mallick,33,22526,Hindustani,Hindustani/artist/Abhay Narayan Mallick.json
Jnanendra Prasad Goswamy,110,416001,Hindustani,Hindustani/artist/Jnanendra Prasad Goswamy.json
Nazakat Ali Khan,468,1210033,Hindustani,Hindustani/artist/Nazakat Ali Khan.json
Jayadevi Jangamshetti,21,21761,Hindustani,Hindustani/artist/Jayadevi Jangamshetti.json
Zarin Sharma,126,188864,Hindustani,Hindustani/artist/Zarin Sharma.json
Anupama Bhagwat,325,2583984,Hindustani,Hindustani/artist/Anupama Bhagwat.json
Nikhil Bannerjee,1127,8767859,Hindustani,Hindustani/artist/Nikhil Bannerjee.json
Pushkar Lele,165,339828,Hindustani,Hindustani/artist/Pushkar Lele.json
Kumudini Katdare,116,35165,Hindustani,Hindustani/artist/Kumudini Katdare.json
Arun Dravid,113,120779,Hindustani,Hindustani/artist/Arun Dravid.json
Roopa Panesar,218,6515816,Hindustani,Hindustani/artist/Roopa Panesar.json
Tripti Mukherjee,49,129357,Hindustani,Hindustani/artist/Tripti Mukherjee.json
Praashekh Borkar,61,570055,Hindustani,Hindustani/artist/Praashekh Borkar.json
Tushar Dutta,182,230769,Hindustani,Hindustani/artist/Tushar Dutta.json
Nachiketa Sharma,63,122372,Hindustani,Hindustani/artist/Nachiketa Sharma.json
Pritam Bhattacharjee,150,265171,Hindustani,Hindustani/artist/Pritam Bhattacharjee.json
Pushparaj Koshti,81,56975,Hindustani,Hindustani/artist/Pushparaj Koshti.json
Asad Amanat Ali Khan,168,3960736,Hindustani,Hindustani/artist/Asad Amanat Ali Khan.json
Malabika Kanan,82,134711,Hindustani,Hindustani/artist/Malabika Kanan.json
Shobha Gurtu,822,6515351,Hindustani,Hindustani/artist/Shobha Gurtu.json
Rasoolan Bai,310,538091,Hindustani,Hindustani/artist/Rasoolan Bai.json
Pournima Dhumale,72,201740,Hindustani,Hindustani/artist/Pournima Dhumale.json
Parameshwar Hegde,265,162048,Hindustani,Hindustani/artist/Parameshwar Hegde.json
Brij Narayan,174,105061,Hindustani,Hindustani/artist/Brij Narayan.json
Rajan Sajan Mishra,1859,15152129,Hindustani,Hindustani/artist/Rajan Sajan Mishra.json
Deobrat Mishra,279,545233,Hindustani,Hindustani/artist/Deobrat Mishra.json
Sathish Vyas,177,116232,Hindustani,Hindustani/artist/Sathish Vyas.json
Bismillah Khan,2145,63273122,Hindustani,Hindustani/artist/Bismillah Khan.json
Vilayat Khan,2219,28197460,Hindustani,Hindustani/artist/Vilayat Khan.json
Rafique Khan,249,827791,Hindustani,Hindustani/artist/Rafique Khan.json
Meeta Pandit,367,2905018,Hindustani,Hindustani/artist/Meeta Pandit.json
Manjiri Alegaonkar,157,162004,Hindustani,Hindustani/artist/Manjiri Alegaonkar.json
Nasir Aminuddin Dagar,116,135209,Hindustani,Hindustani/artist/Nasir Aminuddin Dagar.json
Madhava Gudi,21,3628,Hindustani,Hindustani/artist/Madhava Gudi.json
Harish Tiwari,287,787764,Hindustani,Hindustani/artist/Harish Tiwari.json
Mallikarjun Mansur,1355,2974869,Hindustani,Hindustani/artist/Mallikarjun Mansur.json
Vishnu Digambar Paluskar,103,74805,Hindustani,Hindustani/artist/Vishnu Digambar Paluskar.json
Gautam Kale,158,181212,Hindustani,Hindustani/artist/Gautam Kale.json
Anjali Malkar,64,63887,Hindustani,Hindustani/artist/Anjali Malkar.json
Shivnath Mishra,129,354995,Hindustani,Hindustani/artist/Shivnath Mishra.json
Rajshekhar Mansur,143,78126,Hindustani,Hindustani/artist/Rajshekhar Mansur.json
Bhimsen Joshi,5059,198377093,Hindustani,Hindustani/artist/Bhimsen Joshi.json
Ranadhir Roy,77,223073,Hindustani,Hindustani/artist/Ranadhir Roy.json
Anjan Chattopadhyay,76,35597,Hindustani,Hindustani/artist/Anjan Chattopadhyay.json
Indrajit Banerjee,168,289147,Hindustani,Hindustani/artist/Indrajit Banerjee.json
Ulhas Bapat,155,624081,Hindustani,Hindustani/artist/Ulhas Bapat.json
Kartik Kumar,105,123084,Hindustani,Hindustani/artist/Kartik Kumar.json
Amanat Ali Fateh Ali,42,790520,Hindustani,Hindustani/artist/Amanat Ali Fateh Ali.json
Anuradha Kuber,307,429021,Hindustani,Hindustani/artist/Anuradha Kuber.json
Dhruv Bedi,143,479650,Hindustani,Hindustani/artist/Dhruv Bedi.json
Vinayak Hegde,36,27325,Hindustani,Hindustani/artist/Vinayak Hegde.json
Hiradevi Mishra,61,119359,Hindustani,Hindustani/artist/Hiradevi Mishra.json
Lalith J. Rao,197,140376,Hindustani,Hindustani/artist/Lalith J. Rao.json
Ganapati Bhat,446,1130969,Hindustani,Hindustani/artist/Ganapati Bhat.json
Pratima Tilak,60,134405,Hindustani,Hindustani/artist/Pratima Tilak.json
A. Kanan,91,97262,Hindustani,Hindustani/artist/A. Kanan.json
Ram Narayan,541,30567848,Hindustani,Hindustani/artist/Ram Narayan.json
Roshanara Begum,402,540307,Hindustani,Hindustani/artist/Roshanara Begum.json
Vasant Rai,54,125726,Hindustani,Hindustani/artist/Vasant Rai.json
Milind Tulankar,251,543137,Hindustani,Hindustani/artist/Milind Tulankar.json
Dipali Nag,96,107836,Hindustani,Hindustani/artist/Dipali Nag.json
Apoorva Ghokale,273,1391469,Hindustani,Hindustani/artist/Apoorva Ghokale.json
Shafique Khan,125,79036,Hindustani,Hindustani/artist/Shafique Khan.json
Mahalaxmi Shenoy,189,3002908,Hindustani,Hindustani/artist/Mahalaxmi Shenoy.json
Abdul Latif Khan,129,278420,Hindustani,Hindustani/artist/Abdul Latif Khan.json
